test_acc,train_acc,i_set,dataset,test_loss,train_loss
92.30769348144531,87.61996459960938,1,detailed,0.3724704086780548,0.5651977062225342
92.30769348144531,87.61996459960938,1,detailed,0.3718559741973877,0.5644276738166809
92.47491455078125,87.61996459960938,1,detailed,0.3712484836578369,0.5636922121047974
92.64214324951172,87.61996459960938,1,detailed,0.37064409255981445,0.5629724860191345
92.64214324951172,87.61996459960938,1,detailed,0.3700416386127472,0.5622591972351074
92.64214324951172,87.61996459960938,1,detailed,0.36943987011909485,0.561549723148346
92.64214324951172,87.61996459960938,1,detailed,0.36883869767189026,0.5608433485031128
92.64214324951172,87.61996459960938,1,detailed,0.3682374358177185,0.5601384043693542
92.64214324951172,87.68394470214844,1,detailed,0.367636114358902,0.5594346523284912
92.64214324951172,87.68394470214844,1,detailed,0.3670371174812317,0.5587323904037476
92.64214324951172,87.6519546508789,1,detailed,0.3664424419403076,0.5580341219902039
92.64214324951172,87.6519546508789,1,detailed,0.3658510744571686,0.5573421716690063
92.64214324951172,87.81189727783203,1,detailed,0.3652597963809967,0.5566540360450745
92.64214324951172,87.81189727783203,1,detailed,0.36466437578201294,0.5559663772583008
92.64214324951172,87.84388732910156,1,detailed,0.3640673756599426,0.5552763342857361
92.64214324951172,87.84388732910156,1,detailed,0.3634718060493469,0.5545850396156311
92.64214324951172,87.84388732910156,1,detailed,0.362876296043396,0.5538938641548157
92.64214324951172,87.81189727783203,1,detailed,0.3622809052467346,0.5532032251358032
92.64214324951172,87.84388732910156,1,detailed,0.3616843819618225,0.5525127053260803
92.64214324951172,87.8758773803711,1,detailed,0.3610868453979492,0.5518215298652649
92.64214324951172,87.90786743164062,1,detailed,0.36049145460128784,0.5511285662651062
92.47491455078125,87.90786743164062,1,detailed,0.3599036633968353,0.5504371523857117
92.47491455078125,87.8758773803711,1,detailed,0.3593118190765381,0.5497496128082275
92.47491455078125,87.8758773803711,1,detailed,0.3587164282798767,0.5490635633468628
92.47491455078125,87.8758773803711,1,detailed,0.35811132192611694,0.54837566614151
92.47491455078125,87.8758773803711,1,detailed,0.3574952185153961,0.5476799607276917
92.64214324951172,87.93985748291016,1,detailed,0.35686782002449036,0.5469741225242615
92.64214324951172,87.8758773803711,1,detailed,0.3562304377555847,0.5462576746940613
92.64214324951172,87.93985748291016,1,detailed,0.3555828034877777,0.5455316305160522
92.80936431884766,87.93985748291016,1,detailed,0.35492590069770813,0.544795036315918
92.80936431884766,87.93985748291016,1,detailed,0.3542594611644745,0.5440472960472107
92.9765853881836,87.97184753417969,1,detailed,0.3535850942134857,0.5432904362678528
92.9765853881836,87.97184753417969,1,detailed,0.35290515422821045,0.5425264835357666
92.9765853881836,87.90786743164062,1,detailed,0.3522229492664337,0.5417605042457581
92.9765853881836,87.93985748291016,1,detailed,0.3515505790710449,0.540996789932251
