i_set,dataset,test_loss,test_acc,train_loss,train_acc
5,detailed,0.4443180561065674,88.8707046508789,0.5175787210464478,88.91744232177734
5,detailed,0.44396814703941345,88.8707046508789,0.5171891450881958,88.91744232177734
5,detailed,0.4436332881450653,88.8707046508789,0.5168057084083557,88.88532257080078
5,detailed,0.44330263137817383,88.8707046508789,0.5164265632629395,88.88532257080078
5,detailed,0.44297489523887634,88.8707046508789,0.5160521864891052,88.85319519042969
5,detailed,0.44265204668045044,88.8707046508789,0.5156828761100769,88.88532257080078
5,detailed,0.4423404633998871,88.8707046508789,0.5153188705444336,88.94956970214844
5,detailed,0.4420601725578308,88.8707046508789,0.5149697661399841,88.91744232177734
5,detailed,0.4417879581451416,88.70703887939453,0.5146576166152954,88.94956970214844
5,detailed,0.4415214955806732,88.70703887939453,0.5143675208091736,88.94956970214844
5,detailed,0.44127151370048523,88.70703887939453,0.5140838027000427,88.981689453125
5,detailed,0.44104495644569397,88.70703887939453,0.5138137936592102,88.981689453125
5,detailed,0.4408261775970459,88.70703887939453,0.5135577321052551,88.981689453125
5,detailed,0.44061779975891113,88.70703887939453,0.5133121013641357,89.04593658447266
5,detailed,0.44041380286216736,88.70703887939453,0.5130786895751953,89.04593658447266
5,detailed,0.4402041435241699,88.70703887939453,0.5128515362739563,89.04593658447266
5,detailed,0.4399884045124054,88.70703887939453,0.5126191973686218,89.07805633544922
5,detailed,0.4397677481174469,88.70703887939453,0.5123814940452576,89.07805633544922
5,detailed,0.43954333662986755,88.70703887939453,0.5121387839317322,89.07805633544922
5,detailed,0.43931546807289124,88.70703887939453,0.5118918418884277,89.07805633544922
5,detailed,0.43908393383026123,88.70703887939453,0.511640727519989,89.07805633544922
5,detailed,0.4388481676578522,88.70703887939453,0.5113850235939026,89.07805633544922
5,detailed,0.43860748410224915,88.70703887939453,0.5111246705055237,89.07805633544922
5,detailed,0.43836215138435364,88.70703887939453,0.510859489440918,89.11018371582031
5,detailed,0.4381124675273895,88.70703887939453,0.5105895400047302,89.11018371582031
5,detailed,0.43786123394966125,88.70703887939453,0.5103127360343933,89.14230346679688
