train_loss,dataset,test_loss,i_set,test_acc,train_acc
0.46047914028167725,systemic,0.2936485707759857,1,93.88111877441406,90.4427261352539
0.4595984220504761,systemic,0.29307541251182556,1,93.88111877441406,90.4427261352539
0.45871689915657043,systemic,0.2925041615962982,1,94.05594635009766,90.4427261352539
0.4578437805175781,systemic,0.2919390797615051,1,94.05594635009766,90.47786712646484
0.45698487758636475,systemic,0.29138267040252686,1,94.05594635009766,90.5832748413086
0.45613548159599304,systemic,0.2908560335636139,1,94.05594635009766,90.618408203125
0.4553176760673523,systemic,0.2903438210487366,1,94.05594635009766,90.618408203125
0.4545186758041382,systemic,0.2898353934288025,1,94.05594635009766,90.618408203125
0.45372679829597473,systemic,0.2893252670764923,1,94.05594635009766,90.5832748413086
0.4529345631599426,systemic,0.28881362080574036,1,94.23076629638672,90.5832748413086
0.4521392583847046,systemic,0.28830090165138245,1,94.23076629638672,90.5832748413086
0.45134198665618896,systemic,0.2877947986125946,1,94.23076629638672,90.618408203125
0.45054998993873596,systemic,0.28729182481765747,1,94.23076629638672,90.65354919433594
0.44975996017456055,systemic,0.2867877781391144,1,94.23076629638672,90.65354919433594
0.4489709138870239,systemic,0.28628042340278625,1,94.23076629638672,90.65354919433594
0.4481777250766754,systemic,0.2857705056667328,1,94.23076629638672,90.65354919433594
0.4473777711391449,systemic,0.28525611758232117,1,94.23076629638672,90.65354919433594
0.44657060503959656,systemic,0.28473713994026184,1,94.23076629638672,90.65354919433594
0.44575586915016174,systemic,0.2842136323451996,1,94.23076629638672,90.72382354736328
0.44493427872657776,systemic,0.2836862802505493,1,94.23076629638672,90.72382354736328
0.44410550594329834,systemic,0.2831538915634155,1,94.23076629638672,90.75895690917969
0.4432695209980011,systemic,0.2826159596443176,1,94.23076629638672,90.82923126220703
0.44242745637893677,systemic,0.2820713520050049,1,94.23076629638672,90.82923126220703
0.4415798783302307,systemic,0.28152385354042053,1,94.40559387207031,90.82923126220703
0.4407286047935486,systemic,0.2809755206108093,1,94.5804214477539,90.82923126220703
0.43987396359443665,systemic,0.2804281413555145,1,94.5804214477539,90.86437225341797
0.4390157163143158,systemic,0.2798822820186615,1,94.5804214477539,90.89950561523438
0.4381546676158905,systemic,0.2793367803096771,1,94.5804214477539,90.86437225341797
0.4372892379760742,systemic,0.27879294753074646,1,94.5804214477539,90.93464660644531
0.4364211857318878,systemic,0.27824723720550537,1,94.40559387207031,90.93464660644531
0.4355491101741791,systemic,0.2776975631713867,1,94.5804214477539,90.93464660644531
0.4346705973148346,systemic,0.2771449685096741,1,94.5804214477539,90.93464660644531
0.43378880620002747,systemic,0.27659910917282104,1,94.5804214477539,90.93464660644531
0.43291759490966797,systemic,0.2760649621486664,1,94.75524139404297,90.93464660644531
0.43206697702407837,systemic,0.2755321264266968,1,94.75524139404297,90.93464660644531
0.4312228262424469,systemic,0.27500832080841064,1,94.75524139404297,90.96977996826172
0.43038827180862427,systemic,0.27450859546661377,1,94.75524139404297,91.00492095947266
0.42959845066070557,systemic,0.2740515172481537,1,94.75524139404297,91.00492095947266
0.4288666248321533,systemic,0.2735905647277832,1,94.75524139404297,91.00492095947266
0.42813342809677124,systemic,0.2731340825557709,1,94.75524139404297,91.00492095947266
0.42739835381507874,systemic,0.2726752460002899,1,94.75524139404297,91.00492095947266
0.426657110452652,systemic,0.27221086621284485,1,94.93006896972656,91.00492095947266
0.42590323090553284,systemic,0.27173811197280884,1,94.93006896972656,91.04005432128906
0.42513537406921387,systemic,0.27125558257102966,1,95.10489654541016,91.0751953125
0.42435166239738464,systemic,0.27076175808906555,1,94.93006896972656,91.1103286743164
0.4235503673553467,systemic,0.2702561318874359,1,94.93006896972656,91.1103286743164
0.4227311313152313,systemic,0.2697405219078064,1,94.93006896972656,91.1103286743164
0.42189592123031616,systemic,0.2692164182662964,1,94.93006896972656,91.18060302734375
0.4210458993911743,systemic,0.2686842978000641,1,95.10489654541016,91.18060302734375
0.42017853260040283,systemic,0.26814377307891846,1,95.10489654541016,91.2508773803711
0.4192945659160614,systemic,0.26759499311447144,1,95.10489654541016,91.28601837158203
0.4183976948261261,systemic,0.2670380473136902,1,95.10489654541016,91.32115173339844
