train_loss,test_acc,i_set,train_acc,dataset,test_loss
0.35710638761520386,92.32111358642578,2,92.51318359375,systemic,0.3375679850578308
0.3564136028289795,92.32111358642578,2,92.51318359375,systemic,0.33695849776268005
0.35572361946105957,92.32111358642578,2,92.47803497314453,systemic,0.33635014295578003
0.35503506660461426,92.32111358642578,2,92.44287872314453,systemic,0.33574262261390686
0.3543475866317749,92.32111358642578,2,92.44287872314453,systemic,0.33513695001602173
0.3536616563796997,92.32111358642578,2,92.40773010253906,systemic,0.3345336318016052
0.35297802090644836,92.32111358642578,2,92.40773010253906,systemic,0.33392947912216187
0.3522942066192627,92.14659881591797,2,92.44287872314453,systemic,0.3333222568035126
0.3516088128089905,92.14659881591797,2,92.44287872314453,systemic,0.3327130973339081
0.35092416405677795,92.32111358642578,2,92.44287872314453,systemic,0.3321033716201782
0.350241094827652,92.49563598632812,2,92.44287872314453,systemic,0.3314957320690155
0.34956204891204834,92.49563598632812,2,92.44287872314453,systemic,0.33089479804039
0.348891019821167,92.67015838623047,2,92.47803497314453,systemic,0.33030468225479126
0.34823480248451233,92.67015838623047,2,92.44287872314453,systemic,0.32973843812942505
0.3476087749004364,92.67015838623047,2,92.47803497314453,systemic,0.3292068541049957
0.347008615732193,92.67015838623047,2,92.47803497314453,systemic,0.328698992729187
0.3464248776435852,92.67015838623047,2,92.47803497314453,systemic,0.32817208766937256
0.34582242369651794,92.67015838623047,2,92.54833221435547,systemic,0.3276251554489136
0.34520211815834045,92.67015838623047,2,92.54833221435547,systemic,0.3270658254623413
0.3445708751678467,92.67015838623047,2,92.54833221435547,systemic,0.3264971077442169
0.34393301606178284,92.67015838623047,2,92.58348083496094,systemic,0.3259235918521881
0.34329289197921753,92.67015838623047,2,92.54833221435547,systemic,0.32535600662231445
0.3426590859889984,92.67015838623047,2,92.58348083496094,systemic,0.324796587228775
0.3420296013355255,92.67015838623047,2,92.54833221435547,systemic,0.3242339789867401
0.34139612317085266,92.67015838623047,2,92.58348083496094,systemic,0.3236672580242157
0.34075942635536194,92.67015838623047,2,92.58348083496094,systemic,0.32311153411865234
0.3401322066783905,92.67015838623047,2,92.54833221435547,systemic,0.3225763440132141
0.3395331799983978,92.67015838623047,2,92.51318359375,systemic,0.32208487391471863
0.33897173404693604,92.84468078613281,2,92.47803497314453,systemic,0.32160085439682007
0.3384222388267517,92.84468078613281,2,92.47803497314453,systemic,0.321134477853775
0.33789876103401184,92.84468078613281,2,92.47803497314453,systemic,0.32067373394966125
0.33737942576408386,92.84468078613281,2,92.51318359375,systemic,0.3202075660228729
0.33685335516929626,92.84468078613281,2,92.51318359375,systemic,0.3197367191314697
0.3363216519355774,92.84468078613281,2,92.51318359375,systemic,0.31926125288009644
0.33578455448150635,92.84468078613281,2,92.51318359375,systemic,0.3187822699546814
0.3352431356906891,92.84468078613281,2,92.51318359375,systemic,0.31830015778541565
0.33469855785369873,92.84468078613281,2,92.6186294555664,systemic,0.31781426072120667
0.3341498374938965,92.84468078613281,2,92.6186294555664,systemic,0.3173234462738037
0.33359572291374207,92.84468078613281,2,92.6186294555664,systemic,0.3168272376060486
0.33303552865982056,92.84468078613281,2,92.6186294555664,systemic,0.3163255751132965
0.33246925473213196,92.84468078613281,2,92.6186294555664,systemic,0.3158184587955475
0.33189645409584045,92.84468078613281,2,92.6186294555664,systemic,0.3153054416179657
0.3313171863555908,92.84468078613281,2,92.6186294555664,systemic,0.31478679180145264
0.3307315707206726,92.84468078613281,2,92.58348083496094,systemic,0.31426241993904114
0.33013948798179626,93.01919555664062,2,92.58348083496094,systemic,0.31373175978660583
0.3295406997203827,93.19371795654297,2,92.58348083496094,systemic,0.31319475173950195
0.3289353549480438,93.19371795654297,2,92.58348083496094,systemic,0.31265223026275635
0.3283231854438782,93.19371795654297,2,92.58348083496094,systemic,0.31210365891456604
0.32770442962646484,93.19371795654297,2,92.54833221435547,systemic,0.3115493357181549
