test_loss,i_set,train_loss,train_acc,test_acc,dataset
0.6674466133117676,2,0.46836912631988525,89.10668182373047,88.18770599365234,detailed-1000pre
0.6657558679580688,2,0.467426598072052,89.1388168334961,88.18770599365234,detailed-1000pre
0.6640938520431519,2,0.466497004032135,89.20308685302734,88.18770599365234,detailed-1000pre
0.6624826788902283,2,0.4655884802341461,89.23522186279297,88.18770599365234,detailed-1000pre
0.6609045267105103,2,0.46471279859542847,89.29948425292969,88.18770599365234,detailed-1000pre
0.6596293449401855,2,0.4638623595237732,89.26734924316406,88.18770599365234,detailed-1000pre
0.6584209203720093,2,0.4631986916065216,89.17095184326172,88.18770599365234,detailed-1000pre
0.6571018099784851,2,0.4625488221645355,89.20308685302734,88.34951782226562,detailed-1000pre
0.6557254791259766,2,0.4618413746356964,89.23522186279297,88.18770599365234,detailed-1000pre
0.6543139219284058,2,0.4611102342605591,89.23522186279297,88.18770599365234,detailed-1000pre
0.6528770327568054,2,0.4603610336780548,89.23522186279297,88.18770599365234,detailed-1000pre
0.6514190435409546,2,0.45960232615470886,89.20308685302734,88.18770599365234,detailed-1000pre
0.6499569416046143,2,0.458835631608963,89.20308685302734,88.02588653564453,detailed-1000pre
0.6486221551895142,2,0.45807763934135437,89.17095184326172,88.02588653564453,detailed-1000pre
0.647366464138031,2,0.4573862850666046,89.17095184326172,88.02588653564453,detailed-1000pre
0.6461923718452454,2,0.4567302167415619,89.17095184326172,88.02588653564453,detailed-1000pre
0.6449868679046631,2,0.45612427592277527,89.20308685302734,88.02588653564453,detailed-1000pre
0.6437488198280334,2,0.45550537109375,89.20308685302734,88.02588653564453,detailed-1000pre
0.6424859762191772,2,0.4548731744289398,89.17095184326172,88.02588653564453,detailed-1000pre
0.6412025690078735,2,0.45422881841659546,89.26734924316406,88.02588653564453,detailed-1000pre
0.6398975253105164,2,0.4535777270793915,89.26734924316406,88.02588653564453,detailed-1000pre
0.6385809183120728,2,0.4529206454753876,89.36375427246094,88.18770599365234,detailed-1000pre
0.6372631788253784,2,0.45226162672042847,89.36375427246094,88.18770599365234,detailed-1000pre
0.6359432935714722,2,0.4516063630580902,89.33161926269531,88.18770599365234,detailed-1000pre
0.6346426606178284,2,0.4509523808956146,89.33161926269531,88.18770599365234,detailed-1000pre
0.6334187984466553,2,0.45031267404556274,89.36375427246094,88.02588653564453,detailed-1000pre
0.6323202848434448,2,0.449712872505188,89.39588928222656,88.02588653564453,detailed-1000pre
0.6312095522880554,2,0.44917941093444824,89.39588928222656,87.86407470703125,detailed-1000pre
0.6300802826881409,2,0.44864001870155334,89.42802429199219,87.86407470703125,detailed-1000pre
0.6289269924163818,2,0.4480963349342346,89.42802429199219,88.02588653564453,detailed-1000pre
0.6277481913566589,2,0.4475449025630951,89.42802429199219,88.18770599365234,detailed-1000pre
0.6265438795089722,2,0.4469856321811676,89.46015167236328,88.34951782226562,detailed-1000pre
0.6253117322921753,2,0.44641736149787903,89.46015167236328,88.34951782226562,detailed-1000pre
0.6240522861480713,2,0.44584009051322937,89.4922866821289,88.5113296508789,detailed-1000pre
0.622765302658081,2,0.4452543258666992,89.4922866821289,88.5113296508789,detailed-1000pre
0.6214521527290344,2,0.4446609616279602,89.4922866821289,88.5113296508789,detailed-1000pre
0.6201176047325134,2,0.44406089186668396,89.55655670166016,88.5113296508789,detailed-1000pre
0.6187677383422852,2,0.4434559941291809,89.58869171142578,88.5113296508789,detailed-1000pre
0.6174048781394958,2,0.4428499639034271,89.58869171142578,88.5113296508789,detailed-1000pre
0.6160188913345337,2,0.4422428011894226,89.58869171142578,88.5113296508789,detailed-1000pre
0.6146110892295837,2,0.4416320025920868,89.52442169189453,88.5113296508789,detailed-1000pre
0.6131778359413147,2,0.44101816415786743,89.4922866821289,88.5113296508789,detailed-1000pre
0.6117197275161743,2,0.4404006600379944,89.39588928222656,88.5113296508789,detailed-1000pre
0.6102401614189148,2,0.43977993726730347,89.36375427246094,88.67314147949219,detailed-1000pre
0.6087396740913391,2,0.4391574263572693,89.42802429199219,88.67314147949219,detailed-1000pre
0.6072185039520264,2,0.43853437900543213,89.46015167236328,88.67314147949219,detailed-1000pre
0.6056763529777527,2,0.4379112720489502,89.52442169189453,88.67314147949219,detailed-1000pre
0.6041066646575928,2,0.4372888207435608,89.52442169189453,88.83495330810547,detailed-1000pre
0.602510929107666,2,0.4366645812988281,89.55655670166016,88.67314147949219,detailed-1000pre
0.60081547498703,2,0.43604230880737305,89.52442169189453,88.5113296508789,detailed-1000pre
0.598999559879303,2,0.4354049563407898,89.55655670166016,88.34951782226562,detailed-1000pre
0.5971348285675049,2,0.4347269833087921,89.55655670166016,88.34951782226562,detailed-1000pre
0.595242440700531,2,0.4340486228466034,89.52442169189453,88.34951782226562,detailed-1000pre
0.5933305621147156,2,0.4333820939064026,89.55655670166016,88.34951782226562,detailed-1000pre
0.591393768787384,2,0.43272656202316284,89.55655670166016,88.34951782226562,detailed-1000pre
0.5894187092781067,2,0.4320864677429199,89.4922866821289,88.34951782226562,detailed-1000pre
0.5874035954475403,2,0.4314562976360321,89.4922866821289,88.34951782226562,detailed-1000pre
0.5853819847106934,2,0.43084418773651123,89.4922866821289,88.34951782226562,detailed-1000pre
0.5833665132522583,2,0.4302632212638855,89.55655670166016,88.34951782226562,detailed-1000pre
0.5813683867454529,2,0.42971616983413696,89.55655670166016,88.34951782226562,detailed-1000pre
0.5793989896774292,2,0.42920973896980286,89.58869171142578,88.34951782226562,detailed-1000pre
0.5774690508842468,2,0.428749144077301,89.62081909179688,88.34951782226562,detailed-1000pre
0.5755869150161743,2,0.4283381402492523,89.68508911132812,88.34951782226562,detailed-1000pre
0.5737802386283875,2,0.4279816448688507,89.6529541015625,88.67314147949219,detailed-1000pre
0.5720651745796204,2,0.42768338322639465,89.71722412109375,88.5113296508789,detailed-1000pre
0.5704495310783386,2,0.4274446666240692,89.68508911132812,88.67314147949219,detailed-1000pre
0.5689395070075989,2,0.4272652864456177,89.58869171142578,88.67314147949219,detailed-1000pre
0.5675433874130249,2,0.4271388351917267,89.6529541015625,88.67314147949219,detailed-1000pre
0.5662673115730286,2,0.4270612597465515,89.71722412109375,88.83495330810547,detailed-1000pre
0.5651190876960754,2,0.4270254969596863,89.74935913085938,88.83495330810547,detailed-1000pre
0.5641064047813416,2,0.4270239472389221,89.71722412109375,88.67314147949219,detailed-1000pre
0.5632315278053284,2,0.4270469844341278,89.71722412109375,88.67314147949219,detailed-1000pre
0.5624977350234985,2,0.42708495259284973,89.62081909179688,88.5113296508789,detailed-1000pre
0.5619056820869446,2,0.42712974548339844,89.62081909179688,88.5113296508789,detailed-1000pre
0.5614525675773621,2,0.4271734356880188,89.6529541015625,88.5113296508789,detailed-1000pre
0.5611281394958496,2,0.4272071421146393,89.74935913085938,88.34951782226562,detailed-1000pre
0.56092369556427,2,0.4272260069847107,89.781494140625,88.34951782226562,detailed-1000pre
0.5608288645744324,2,0.42722782492637634,89.781494140625,88.34951782226562,detailed-1000pre
0.5608327984809875,2,0.4272124469280243,89.781494140625,88.34951782226562,detailed-1000pre
0.56092369556427,2,0.42718198895454407,89.781494140625,88.34951782226562,detailed-1000pre
0.5610863566398621,2,0.42713817954063416,89.781494140625,88.5113296508789,detailed-1000pre
0.561306893825531,2,0.42708519101142883,89.781494140625,88.5113296508789,detailed-1000pre
0.5615760684013367,2,0.42702516913414,89.68508911132812,88.5113296508789,detailed-1000pre
0.5618796944618225,2,0.4269624948501587,89.62081909179688,88.5113296508789,detailed-1000pre
0.5622063279151917,2,0.42690059542655945,89.6529541015625,88.5113296508789,detailed-1000pre
0.5625435709953308,2,0.4268394112586975,89.6529541015625,88.67314147949219,detailed-1000pre
0.5628824830055237,2,0.4267804026603699,89.6529541015625,88.67314147949219,detailed-1000pre
0.5632163286209106,2,0.4267253279685974,89.71722412109375,88.67314147949219,detailed-1000pre
0.5635323524475098,2,0.42667895555496216,89.68508911132812,88.67314147949219,detailed-1000pre
0.5638230443000793,2,0.4266398549079895,89.71722412109375,88.67314147949219,detailed-1000pre
0.564083993434906,2,0.42660608887672424,89.71722412109375,88.83495330810547,detailed-1000pre
0.5643147230148315,2,0.42657753825187683,89.71722412109375,88.83495330810547,detailed-1000pre
0.5645110011100769,2,0.42655250430107117,89.74935913085938,88.83495330810547,detailed-1000pre
0.5646714568138123,2,0.4265289604663849,89.781494140625,88.83495330810547,detailed-1000pre
0.5647959113121033,2,0.4265049695968628,89.74935913085938,88.83495330810547,detailed-1000pre
0.5648875832557678,2,0.426481693983078,89.71722412109375,88.83495330810547,detailed-1000pre
0.5649497509002686,2,0.4264600872993469,89.68508911132812,88.83495330810547,detailed-1000pre
0.564976692199707,2,0.4264380931854248,89.71722412109375,88.83495330810547,detailed-1000pre
0.5649672746658325,2,0.4264145493507385,89.71722412109375,88.83495330810547,detailed-1000pre
0.5649231672286987,2,0.4263887107372284,89.71722412109375,88.83495330810547,detailed-1000pre
0.5648456811904907,2,0.42636099457740784,89.71722412109375,88.83495330810547,detailed-1000pre
0.5647420287132263,2,0.4263317286968231,89.71722412109375,88.83495330810547,detailed-1000pre
0.5646241903305054,2,0.426302045583725,89.71722412109375,88.83495330810547,detailed-1000pre
0.5644937753677368,2,0.42627254128456116,89.71722412109375,88.83495330810547,detailed-1000pre
0.5643560886383057,2,0.4262440800666809,89.71722412109375,88.83495330810547,detailed-1000pre
0.5642086863517761,2,0.42621660232543945,89.71722412109375,88.83495330810547,detailed-1000pre
0.5640514492988586,2,0.42618855834007263,89.71722412109375,88.83495330810547,detailed-1000pre
0.5638859868049622,2,0.42615994811058044,89.71722412109375,88.83495330810547,detailed-1000pre
0.5637136101722717,2,0.42613109946250916,89.71722412109375,88.83495330810547,detailed-1000pre
0.5635383129119873,2,0.42610234022140503,89.71722412109375,88.83495330810547,detailed-1000pre
0.5633606314659119,2,0.4260742664337158,89.71722412109375,88.83495330810547,detailed-1000pre
0.5631831288337708,2,0.42604687809944153,89.74935913085938,88.83495330810547,detailed-1000pre
0.5630110502243042,2,0.4260183274745941,89.71722412109375,88.83495330810547,detailed-1000pre
0.5628517866134644,2,0.4259890615940094,89.74935913085938,88.83495330810547,detailed-1000pre
0.5627099871635437,2,0.4259592294692993,89.781494140625,88.83495330810547,detailed-1000pre
0.5625882148742676,2,0.4259279668331146,89.8136215209961,88.83495330810547,detailed-1000pre
0.5624783635139465,2,0.425895631313324,89.8136215209961,88.83495330810547,detailed-1000pre
0.5623776316642761,2,0.4258626699447632,89.781494140625,88.83495330810547,detailed-1000pre
0.562289834022522,2,0.42582839727401733,89.781494140625,88.83495330810547,detailed-1000pre
0.5622203946113586,2,0.4257934093475342,89.781494140625,88.83495330810547,detailed-1000pre
0.5621630549430847,2,0.4257582724094391,89.781494140625,88.83495330810547,detailed-1000pre
0.5621100068092346,2,0.4257234036922455,89.8136215209961,88.83495330810547,detailed-1000pre
0.5620574355125427,2,0.4256885051727295,89.781494140625,88.83495330810547,detailed-1000pre
0.5620015859603882,2,0.42565348744392395,89.781494140625,88.83495330810547,detailed-1000pre
0.5619382858276367,2,0.4256179928779602,89.781494140625,88.83495330810547,detailed-1000pre
0.5618309378623962,2,0.4255830943584442,89.781494140625,88.83495330810547,detailed-1000pre
0.5616649389266968,2,0.4255480170249939,89.781494140625,88.83495330810547,detailed-1000pre
0.5614897012710571,2,0.4255145490169525,89.74935913085938,88.83495330810547,detailed-1000pre
0.5613132119178772,2,0.4254781901836395,89.74935913085938,88.83495330810547,detailed-1000pre
0.5611404776573181,2,0.4254409372806549,89.8136215209961,88.67314147949219,detailed-1000pre
0.5609776973724365,2,0.42540326714515686,89.8136215209961,88.67314147949219,detailed-1000pre
0.5608300566673279,2,0.42536452412605286,89.8136215209961,88.67314147949219,detailed-1000pre
0.5607014298439026,2,0.4253261387348175,89.8136215209961,88.67314147949219,detailed-1000pre
0.5605894327163696,2,0.42528748512268066,89.8136215209961,88.67314147949219,detailed-1000pre
0.5604920983314514,2,0.42524755001068115,89.8136215209961,88.67314147949219,detailed-1000pre
0.5604103803634644,2,0.4252072274684906,89.84575653076172,88.67314147949219,detailed-1000pre
0.5603430867195129,2,0.42516642808914185,89.8136215209961,88.67314147949219,detailed-1000pre
0.5602908730506897,2,0.4251253604888916,89.8136215209961,88.67314147949219,detailed-1000pre
0.5602521896362305,2,0.42508405447006226,89.8136215209961,88.83495330810547,detailed-1000pre
0.5601478219032288,2,0.42504388093948364,89.781494140625,88.83495330810547,detailed-1000pre
0.5600506067276001,2,0.4250013530254364,89.781494140625,88.83495330810547,detailed-1000pre
0.559954047203064,2,0.4249584376811981,89.74935913085938,88.83495330810547,detailed-1000pre
0.559860110282898,2,0.42491382360458374,89.74935913085938,88.83495330810547,detailed-1000pre
0.5597676634788513,2,0.42486807703971863,89.74935913085938,88.83495330810547,detailed-1000pre
0.5596862435340881,2,0.4248211681842804,89.74935913085938,88.83495330810547,detailed-1000pre
0.5596150755882263,2,0.424773633480072,89.74935913085938,88.99676513671875,detailed-1000pre
0.5595446825027466,2,0.4247250556945801,89.74935913085938,88.99676513671875,detailed-1000pre
0.5594710111618042,2,0.424675315618515,89.74935913085938,89.15857696533203,detailed-1000pre
0.5593875050544739,2,0.42462465167045593,89.74935913085938,89.15857696533203,detailed-1000pre
0.5592822432518005,2,0.42457255721092224,89.74935913085938,89.15857696533203,detailed-1000pre
0.5591551065444946,2,0.4245182275772095,89.74935913085938,89.15857696533203,detailed-1000pre
0.5590072870254517,2,0.4244614243507385,89.74935913085938,89.15857696533203,detailed-1000pre
0.5588570833206177,2,0.42440328001976013,89.74935913085938,89.15857696533203,detailed-1000pre
0.558704674243927,2,0.4243435561656952,89.74935913085938,89.15857696533203,detailed-1000pre
0.5585516691207886,2,0.4242810606956482,89.74935913085938,89.15857696533203,detailed-1000pre
0.5584009885787964,2,0.42421597242355347,89.781494140625,89.15857696533203,detailed-1000pre
0.5582500100135803,2,0.42415040731430054,89.74935913085938,89.15857696533203,detailed-1000pre
0.5580906271934509,2,0.42408475279808044,89.74935913085938,89.15857696533203,detailed-1000pre
0.5579160451889038,2,0.4240204989910126,89.74935913085938,89.15857696533203,detailed-1000pre
0.5577222108840942,2,0.4239566922187805,89.74935913085938,89.15857696533203,detailed-1000pre
0.5575305819511414,2,0.4238922595977783,89.74935913085938,89.15857696533203,detailed-1000pre
0.5573513507843018,2,0.4238267242908478,89.74935913085938,89.15857696533203,detailed-1000pre
0.5571796894073486,2,0.42375820875167847,89.781494140625,89.15857696533203,detailed-1000pre
0.5570081472396851,2,0.4236869215965271,89.781494140625,89.15857696533203,detailed-1000pre
0.5568196773529053,2,0.42361247539520264,89.781494140625,89.15857696533203,detailed-1000pre
0.5566201210021973,2,0.4235351085662842,89.781494140625,89.15857696533203,detailed-1000pre
0.5564141869544983,2,0.4234551787376404,89.781494140625,89.32038879394531,detailed-1000pre
0.5562148094177246,2,0.42337483167648315,89.781494140625,89.32038879394531,detailed-1000pre
0.556013286113739,2,0.42329221963882446,89.781494140625,89.32038879394531,detailed-1000pre
0.5558030605316162,2,0.4232056140899658,89.781494140625,89.15857696533203,detailed-1000pre
0.5556005239486694,2,0.42311781644821167,89.781494140625,89.15857696533203,detailed-1000pre
0.555389940738678,2,0.42302513122558594,89.781494140625,89.15857696533203,detailed-1000pre
0.5551930069923401,2,0.42292872071266174,89.74935913085938,89.15857696533203,detailed-1000pre
0.5549612045288086,2,0.4228263795375824,89.74935913085938,89.15857696533203,detailed-1000pre
0.5547053217887878,2,0.4227190613746643,89.781494140625,89.15857696533203,detailed-1000pre
0.5544306039810181,2,0.42260730266571045,89.781494140625,89.15857696533203,detailed-1000pre
0.5541309714317322,2,0.4224916994571686,89.84575653076172,89.15857696533203,detailed-1000pre
