i_set,test_acc,dataset,train_acc,test_loss,train_loss
4,87.07691955566406,detailed-1000pre,89.48052215576172,0.510563313961029,0.4909694492816925
4,87.07691955566406,detailed-1000pre,89.48052215576172,0.50935298204422,0.4890708923339844
4,87.07691955566406,detailed-1000pre,89.44805145263672,0.508245587348938,0.4872835874557495
4,87.07691955566406,detailed-1000pre,89.38311767578125,0.5072236061096191,0.48562994599342346
4,87.07691955566406,detailed-1000pre,89.38311767578125,0.5062504410743713,0.48409271240234375
4,87.07691955566406,detailed-1000pre,89.41558074951172,0.5053220987319946,0.4826114773750305
4,87.23076629638672,detailed-1000pre,89.41558074951172,0.5044311285018921,0.48116952180862427
4,87.38461303710938,detailed-1000pre,89.48052215576172,0.5035659074783325,0.4797733724117279
4,87.53845977783203,detailed-1000pre,89.54545593261719,0.5027111172676086,0.4783894121646881
4,87.38461303710938,detailed-1000pre,89.48052215576172,0.5018961429595947,0.47699418663978577
4,87.38461303710938,detailed-1000pre,89.54545593261719,0.5012617707252502,0.4756591022014618
4,87.38461303710938,detailed-1000pre,89.57791900634766,0.5006442666053772,0.4746055603027344
4,87.38461303710938,detailed-1000pre,89.54545593261719,0.5000540614128113,0.47355207800865173
4,87.38461303710938,detailed-1000pre,89.64286041259766,0.4995059072971344,0.4725329875946045
4,87.38461303710938,detailed-1000pre,89.67532348632812,0.4989737570285797,0.4715516269207001
4,87.38461303710938,detailed-1000pre,89.70779418945312,0.49845224618911743,0.4705684781074524
4,87.38461303710938,detailed-1000pre,89.7402572631836,0.49793294072151184,0.46959859132766724
4,87.53845977783203,detailed-1000pre,89.83766174316406,0.4974258244037628,0.4686116576194763
4,87.69230651855469,detailed-1000pre,89.80519104003906,0.4969226121902466,0.4676261842250824
4,87.69230651855469,detailed-1000pre,89.7727279663086,0.49642494320869446,0.4666270315647125
4,87.69230651855469,detailed-1000pre,89.7402572631836,0.49593496322631836,0.4656112790107727
4,87.53845977783203,detailed-1000pre,89.67532348632812,0.49545523524284363,0.4645799398422241
4,87.53845977783203,detailed-1000pre,89.64286041259766,0.4949916899204254,0.463534414768219
4,87.38461303710938,detailed-1000pre,89.61038970947266,0.4945715367794037,0.46248945593833923
4,87.53845977783203,detailed-1000pre,89.7727279663086,0.4941681921482086,0.4615001678466797
4,87.53845977783203,detailed-1000pre,89.7402572631836,0.49378061294555664,0.4605046212673187
4,87.53845977783203,detailed-1000pre,89.80519104003906,0.49341532588005066,0.45950186252593994
4,87.53845977783203,detailed-1000pre,89.87013244628906,0.493075430393219,0.4584886431694031
4,87.38461303710938,detailed-1000pre,89.83766174316406,0.49275875091552734,0.4574747085571289
4,87.23076629638672,detailed-1000pre,89.83766174316406,0.49246981739997864,0.4564606547355652
4,87.23076629638672,detailed-1000pre,89.7727279663086,0.4922123849391937,0.45544204115867615
4,87.23076629638672,detailed-1000pre,89.80519104003906,0.49198898673057556,0.45441997051239014
4,87.23076629638672,detailed-1000pre,89.83766174316406,0.49180474877357483,0.4533979892730713
4,87.23076629638672,detailed-1000pre,89.7727279663086,0.49166467785835266,0.45238009095191956
4,87.23076629638672,detailed-1000pre,89.7727279663086,0.49157339334487915,0.4513704180717468
4,87.38461303710938,detailed-1000pre,89.80519104003906,0.49153733253479004,0.45037326216697693
4,87.53845977783203,detailed-1000pre,89.80519104003906,0.4915592074394226,0.44939273595809937
4,87.38461303710938,detailed-1000pre,89.7727279663086,0.4916456937789917,0.4484267830848694
4,87.53845977783203,detailed-1000pre,89.80519104003906,0.49180054664611816,0.4474862217903137
4,87.69230651855469,detailed-1000pre,89.80519104003906,0.4920293390750885,0.44657668471336365
4,87.38461303710938,detailed-1000pre,89.83766174316406,0.4923359155654907,0.4457034766674042
4,87.53845977783203,detailed-1000pre,89.87013244628906,0.49272432923316956,0.44487279653549194
4,87.23076629638672,detailed-1000pre,89.967529296875,0.4931985139846802,0.4440900385379791
4,86.92308044433594,detailed-1000pre,90.0,0.4937618374824524,0.4433608055114746
4,86.92308044433594,detailed-1000pre,90.06493377685547,0.4944162368774414,0.44269078969955444
4,87.07691955566406,detailed-1000pre,90.032470703125,0.4951591193675995,0.44208595156669617
4,86.76923370361328,detailed-1000pre,90.06493377685547,0.4959876537322998,0.44154971837997437
4,86.76923370361328,detailed-1000pre,90.032470703125,0.49689537286758423,0.4410851299762726
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49787282943725586,0.4406938850879669
4,86.76923370361328,detailed-1000pre,90.0,0.4989091753959656,0.44037601351737976
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.49998939037323,0.4401300549507141
4,86.61538696289062,detailed-1000pre,89.93506622314453,0.5010954141616821,0.4399527311325073
4,86.76923370361328,detailed-1000pre,89.90259552001953,0.5022033452987671,0.43983951210975647
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5032893419265747,0.4397831857204437
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5043275952339172,0.4397745430469513
4,86.61538696289062,detailed-1000pre,89.70779418945312,0.5052911639213562,0.4398031532764435
4,86.61538696289062,detailed-1000pre,89.67532348632812,0.5061545968055725,0.4398579001426697
4,86.61538696289062,detailed-1000pre,89.64286041259766,0.5068966150283813,0.4399268627166748
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5075002908706665,0.4399991035461426
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5079602003097534,0.44006457924842834
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5082793831825256,0.4401159882545471
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5084415674209595,0.44015130400657654
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5084605813026428,0.4401642084121704
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5083577036857605,0.4401553273200989
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.508151113986969,0.4401286542415619
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5078545808792114,0.4400862157344818
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5074859857559204,0.44003090262413025
4,86.76923370361328,detailed-1000pre,89.54545593261719,0.5070626735687256,0.4399670660495758
4,86.46154022216797,detailed-1000pre,89.54545593261719,0.5066044330596924,0.4398995041847229
4,86.61538696289062,detailed-1000pre,89.61038970947266,0.5061272978782654,0.4398314654827118
4,86.46154022216797,detailed-1000pre,89.64286041259766,0.5056462287902832,0.439766526222229
4,86.61538696289062,detailed-1000pre,89.70779418945312,0.5051587224006653,0.4397065043449402
4,86.61538696289062,detailed-1000pre,89.64286041259766,0.5046752095222473,0.43965208530426025
4,86.61538696289062,detailed-1000pre,89.67532348632812,0.5042182207107544,0.4396045207977295
4,86.61538696289062,detailed-1000pre,89.7402572631836,0.5037933588027954,0.4395657479763031
4,86.61538696289062,detailed-1000pre,89.7727279663086,0.5034043788909912,0.43953627347946167
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5030531287193298,0.43951383233070374
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5027398467063904,0.43949654698371887
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5024680495262146,0.43948206305503845
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5022314190864563,0.43946999311447144
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5020272135734558,0.43946021795272827
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5018568634986877,0.4394506514072418
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5017223954200745,0.4394407570362091
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5016225576400757,0.439430296421051
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015566945075989,0.4394185245037079
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.501525342464447,0.43940603733062744
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015236735343933,0.43939393758773804
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015459656715393,0.43938273191452026
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015896558761597,0.43937045335769653
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5016501545906067,0.43935683369636536
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.501724123954773,0.43934211134910583
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5018094182014465,0.43932631611824036
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5019034743309021,0.43930989503860474
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.50200355052948,0.4392929673194885
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5021084547042847,0.4392761290073395
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5022150874137878,0.43925997614860535
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5023208260536194,0.4392443299293518
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5024229288101196,0.43922847509384155
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5025203824043274,0.43921247124671936
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5026127099990845,0.4391973912715912
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5026978254318237,0.4391838610172272
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5027735233306885,0.43917179107666016
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5028380155563354,0.4391597509384155
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5028918981552124,0.4391472637653351
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5029362440109253,0.43913453817367554
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5029712915420532,0.43912163376808167
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5029969215393066,0.43910840153694153
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5030118227005005,0.4390947222709656
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5030143857002258,0.43908101320266724
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5030024647712708,0.43906721472740173
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5029764175415039,0.4390525817871094
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5029393434524536,0.4390365779399872
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5028955340385437,0.43901973962783813
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5028486251831055,0.43900221586227417
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5028011202812195,0.4389837384223938
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5027533173561096,0.43896418809890747
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5027056932449341,0.4389430284500122
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.502659022808075,0.4389204978942871
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5026203393936157,0.4388965964317322
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5025894045829773,0.43887439370155334
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5025691986083984,0.438855916261673
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5025489926338196,0.4388408660888672
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5025182366371155,0.43882644176483154
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5024766325950623,0.4388101100921631
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5024322271347046,0.4387906491756439
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5023908019065857,0.4387691915035248
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.50235515832901,0.4387461245059967
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.502324640750885,0.43872299790382385
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.502298891544342,0.4386993646621704
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5022791028022766,0.43867480754852295
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5022671818733215,0.4386501610279083
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.5022599101066589,0.43862560391426086
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022555589675903,0.4385986924171448
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022499561309814,0.4385684132575989
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022429823875427,0.4385348856449127
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.502241849899292,0.43849867582321167
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022466778755188,0.4384607672691345
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022504329681396,0.4384211003780365
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022549629211426,0.4383793771266937
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022599697113037,0.43833863735198975
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022634267807007,0.4382975995540619
4,86.76923370361328,detailed-1000pre,89.83766174316406,0.5022634863853455,0.43825745582580566
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022616982460022,0.4382183849811554
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022627115249634,0.4381827414035797
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022665858268738,0.438149631023407
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022773742675781,0.43811914324760437
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022837519645691,0.4380909204483032
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022803544998169,0.4380638003349304
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022674202919006,0.4380388557910919
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022488832473755,0.43801236152648926
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5022197365760803,0.4379841983318329
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5021799206733704,0.4379541873931885
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.502129316329956,0.43792369961738586
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5020700097084045,0.43789175152778625
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5019981265068054,0.4378579556941986
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.501920759677887,0.43782153725624084
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5018356442451477,0.4377833604812622
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5017492771148682,0.4377434253692627
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5016687512397766,0.43770185112953186
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015918612480164,0.4376588761806488
